UB_T3_1	UB_T3_2	UB_T3_3	UB_T8_1	UB_T8_2	UB_T8_3	gene_id	gene
12	19	16	415	19	285	ENSG00000187243	MAGED4B
0	1	0	13	38	21	ENSG00000125845	BMP2
8	4	10	46	62	11	ENSG00000072952	MRVI1
3	2	1	12	17	14	ENSG00000131746	TNS4
5479	5517	3683	1029	1413	1412	ENSG00000117399	CDC20
1133	1499	941	252	191	382	ENSG00000156970	BUB1B
124	218	303	63	26	42	ENSG00000114115	RBP1
106	100	122	480	286	1648	ENSG00000138675	FGF5
0	0	0	26	6	2	ENSG00000135373	EHF
0	3	0	15	12	80	ENSG00000152208	GRID2
1	0	1	18	2	40	ENSG00000060140	STYK1
1	9	3	74	43	21	ENSG00000130477	UNC13A
60	30	14	7	1	0	ENSG00000066735	KIF26A
31	40	5	315	74	51	ENSG00000138646	HERC5
10	17	8	2	1	2	ENSG00000018280	SLC11A1
100	82	53	1077	260	156	ENSG00000138642	HERC6
14	12	3	43	101	17	ENSG00000160191	PDE9A
26	46	82	14	8	9	ENSG00000109072	VTN
1	2	3	20	26	9	ENSG00000058404	CAMK2B
4	4	8	15	27	40	ENSG00000112981	NME5
29	23	15	212	50	40	ENSG00000184156	KCNQ3
14	9	19	32	55	106	ENSG00000059915	PSD
4	6	0	44	28	14	ENSG00000137393	RNF144B
2	4	4	31	23	10	ENSG00000134548	SPX
3819	4068	2261	710	984	966	ENSG00000089685	BIRC5
10	21	16	4	0	3	ENSG00000188818	ZDHHC11
51	34	24	5	6	4	ENSG00000197977	ELOVL2
0	2	0	3	20	30	ENSG00000162631	NTNG1
2	5	8	11	34	102	ENSG00000149527	PLCH2
9	7	6	46	43	46	ENSG00000160460	SPTBN4
176	319	500	87	85	55	ENSG00000162692	VCAM1
3044	3378	2100	691	666	880	ENSG00000113368	LMNB1
1	2	1	8	5	36	ENSG00000188158	NHS
11	9	3	56	84	228	ENSG00000155816	FMN2
35	81	110	18	24	15	ENSG00000197614	MFAP5
28	45	15	128	145	298	ENSG00000188487	INSC
40	46	210	14	15	16	ENSG00000196562	SULF2
1	2	5	31	11	21	ENSG00000250697	AC010343.3
1262	1192	801	200	218	235	ENSG00000129195	PIMREG
21	39	42	9	6	1	ENSG00000203727	SAMD5
814	802	463	145	137	166	ENSG00000186193	SAPCD2
26	32	20	5	4	10	ENSG00000198901	PRC1
26	14	19	6	3	6	ENSG00000261762	AC027228.2
70	107	105	138	175	934	ENSG00000076706	MCAM
7	13	2	84	69	19	ENSG00000116701	NCF2
5	15	6	36	92	18	ENSG00000196139	AKR1C3
5	2	6	10	32	27	ENSG00000247134	AC090204.1
13	11	3	13	26	241	ENSG00000186897	C1QL4
1	16	9	43	188	92	ENSG00000162415	ZSWIM5
1975	2332	1443	503	276	652	ENSG00000138180	CEP55
34	25	18	297	96	30	ENSG00000110446	SLC15A3
418	404	217	74	51	120	ENSG00000165244	ZNF367
13	20	77	0	4	8	ENSG00000120594	PLXDC2
164	123	218	19	34	59	ENSG00000128487	SPECC1
16	32	8	56	117	241	ENSG00000162981	FAM84A
23	19	15	58	196	157	ENSG00000170743	SYT9
9	26	10	62	118	97	ENSG00000103449	SALL1
59	114	82	31	11	8	ENSG00000238266	LINC00707
28	108	73	3	4	11	ENSG00000109193	SULT1E1
167	199	204	751	1353	803	ENSG00000176971	FIBIN
20	16	13	325	44	24	ENSG00000132530	XAF1
483	333	253	116	99	33	ENSG00000101265	RASSF2
9	4	6	20	16	196	ENSG00000159184	HOXB13
4	26	38	1	2	4	ENSG00000155966	AFF2
3	2	2	11	18	20	ENSG00000157782	CABP1
4	2	11	66	41	34	ENSG00000198133	TMEM229B
13	1	4	122	19	28	ENSG00000170373	CST1
189	188	263	73	42	39	ENSG00000134247	PTGFRN
18	12	19	2	2	2	ENSG00000136943	CTSV
8	6	11	92	98	64	ENSG00000163431	LMOD1
4	5	1	14	25	16	ENSG00000157368	IL34
49	22	29	710	102	73	ENSG00000115267	IFIH1
975	1208	714	283	84	341	ENSG00000072571	HMMR
146	826	345	10	20	12	ENSG00000133110	POSTN
121	125	77	731	731	237	ENSG00000139629	GALNT6
28	14	6	1050	138	35	ENSG00000089127	OAS1
31	12	17	6	6	3	ENSG00000255150	EID3
68	79	52	25	13	11	ENSG00000251151	HOXC-AS3
6	3	8	42	41	67	ENSG00000171873	ADRA1D
87	35	69	484	305	406	ENSG00000121769	FABP3
227	289	120	3249	799	422	ENSG00000119922	IFIT2
21	29	36	5	1	3	ENSG00000182985	CADM1
33	53	21	6	17	2	ENSG00000128594	LRRC4
3	4	0	9	20	38	ENSG00000111846	GCNT2
6	3	4	15	20	28	ENSG00000121075	TBX4
1	7	3	40	26	42	ENSG00000135549	PKIB
37	12	22	9	2	2	ENSG00000153094	BCL2L11
8	19	18	0	4	1	ENSG00000107518	ATRNL1
1	11	0	6	81	71	ENSG00000198732	SMOC1
1001	1211	737	196	250	302	ENSG00000111665	CDCA3
