UB_T10_1	UB_T10_2	UB_T10_3	UB_T5_1	UB_T5_2	UB_T5_3	gene_id	gene
4	10	7	38	44	30	ENSG00000108984	MAP2K6
23	28	73	15	13	3	ENSG00000157782	CABP1
110	59	24	21	14	18	ENSG00000198133	TMEM229B
7	8	9	27	80	55	ENSG00000179388	EGR3
61	28	64	485	213	349	ENSG00000145794	MEGF10
149	97	90	32	19	42	ENSG00000116032	GRIN3B
3	2	7	45	19	27	ENSG00000184995	IFNE
1115	768	226	224	216	154	ENSG00000139629	GALNT6
326	183	367	1814	1717	1492	ENSG00000136928	GABBR2
28	226	5	2	2	2	ENSG00000124107	SLPI
11	4	9	150	56	73	ENSG00000100078	PLA2G3
100	63	109	18	17	21	ENSG00000185972	CCIN
78	195	19	10	5	14	ENSG00000133048	CHI3L1
179	364	409	1818	1259	1376	ENSG00000113810	SMC4
18	11	28	90	58	112	ENSG00000221887	HMSD
241	265	144	1179	651	1351	ENSG00000206538	VGLL3
33	24	11	241	88	156	ENSG00000172379	ARNT2
156	336	82	52	40	59	ENSG00000166482	MFAP4
415	118	97	2094	900	906	ENSG00000166341	DCHS1
51	70	146	14	16	21	ENSG00000167653	PSCA
